url	path
https://assets-au-01.kc-usercontent.com:443/8acbd32f-b7e0-0294-6b7d-a2bc72d6b30c/b5f6ed40-a270-48ab-bedd-b09722073743/Global%20Income%20Fund_Schroders%20ok.pdf	07526481356c7bc7c3205b35891e5f7b435ca3a0.pdf
https://assets-au-01.kc-usercontent.com:443/8acbd32f-b7e0-0294-6b7d-a2bc72d6b30c/baf26861-a44e-423e-ab1a-5d583d3e4fab/Asian%20Bond%20Fund%20ok.pdf	db96c751a8139440b41ce55ec038ee28fad699f7.pdf
https://assets-au-01.kc-usercontent.com:443/8acbd32f-b7e0-0294-6b7d-a2bc72d6b30c/bbc04db3-c8d3-41cc-ba36-f8f5aa3e64e3/GDS%20Managed%20Fund%20ok.pdf	10fe3fc8d6a600244a8469a00010ee7683db9c74.pdf
https://assets-au-01.kc-usercontent.com:443/8acbd32f-b7e0-0294-6b7d-a2bc72d6b30c/c3fb38df-e3e4-4a6b-a911-cf8dea0cb364/Asia%20Managed%20Fund%20ok.pdf	bc2a010916d3f01b2f787c9106ff69fbdb0150eb.pdf
https://assets-au-01.kc-usercontent.com:443/8acbd32f-b7e0-0294-6b7d-a2bc72d6b30c/c7a9bfc7-dd6f-428f-867c-30b67ca59dc1/GDS%20Balanced%20Fund%20ok.pdf	f9f6cb2709d3e1c3d85074a7d563748d4b8da833.pdf
https://assets-au-01.kc-usercontent.com:443/8acbd32f-b7e0-0294-6b7d-a2bc72d6b30c/d3557d62-95ee-4840-809e-7a2f80725498/Income%20Global%20Gold%20Equity%20Fund_Schroders%20ok.pdf	4affbda075892a8d64b935417cbc3da39eef2a75.pdf
https://assets-au-01.kc-usercontent.com:443/8acbd32f-b7e0-0294-6b7d-a2bc72d6b30c/d7d1be65-48af-46f5-983e-7abda82d7423/Income%20World%20Healthscience%20Fund_Blackrock.pdf	03ed6c15f1d7ce67011863b88dd1e93a8448fa20.pdf
https://assets-au-01.kc-usercontent.com:443/8acbd32f-b7e0-0294-6b7d-a2bc72d6b30c/ea0a62a8-4618-4f3e-a297-1eca9f18626c/Income%20Global%20Emerging%20Markets%20Equity%20Fund_JPM%20ok.pdf	2e287dfd20f337abb1ae1364cde15745ca5d22db.pdf
https://assets-au-01.kc-usercontent.com:443/8acbd32f-b7e0-0294-6b7d-a2bc72d6b30c/feae5f73-4ad7-4e9e-b9d1-b1f8cf869eaa/Income%20Global%20Artificial%20Intelligence%20Fund_Allianz%20ok.pdf	b44e589082eb3918c007451e2620770b25cd14f2.pdf
https://www.prudential.com.sg/-/media/project/prudential/pdf/ebrochures/prulink-funds-updated/factsheets/prulink-activeinvest-portfolio---balanced.pdf	360c3ebbb7a728d7105c4b54c873e633c735c1aa.pdf
https://www.prudential.com.sg/-/media/project/prudential/pdf/ebrochures/prulink-funds-updated/factsheets/prulink-activeinvest-portfolio---conservative.pdf	6ddb9a6bb49781f13e8252153021980adc4a01f9.pdf
https://www.prudential.com.sg/-/media/project/prudential/pdf/ebrochures/prulink-funds-updated/factsheets/prulink-activeinvest-portfolio---growth.pdf	579b76bacc1afbbd892a4d24d7fa499ef1ff1eef.pdf
https://www.prudential.com.sg/-/media/project/prudential/pdf/ebrochures/prulink-funds-updated/factsheets/prulink-activeinvest-portfolio---moderate.pdf	abf181a479ae7955faf7b515a7b6f6acf0d2ccbc.pdf
https://www.prudential.com.sg/-/media/project/prudential/pdf/ebrochures/prulink-funds-updated/factsheets/prulink-adapt-2035-fund-template.pdf	a7df0aa5f7ca03bb5b1dbc2d93da4c596a13c31b.pdf
https://www.prudential.com.sg/-/media/project/prudential/pdf/ebrochures/prulink-funds-updated/factsheets/prulink-america-fund-template.pdf	b7362d1fa8257565afad8f6fc1da7eb837013175.pdf
https://www.prudential.com.sg/-/media/project/prudential/pdf/ebrochures/prulink-funds-updated/factsheets/prulink-asian-american-managed-fund-template.pdf	6138d4549cef6b0893984aa36fa7374e2287197e.pdf
https://www.prudential.com.sg/-/media/project/prudential/pdf/ebrochures/prulink-funds-updated/factsheets/prulink-asian-equity-fund-template.pdf	ac10aa73b50ea4c828df44df663bb4e171d9fdf4.pdf
https://www.prudential.com.sg/-/media/project/prudential/pdf/ebrochures/prulink-funds-updated/factsheets/prulink-asian-income-and-growth-fund-template.pdf	8b16c13e78d72deb8fa5a461636c3d006754f4ab.pdf
https://www.prudential.com.sg/-/media/project/prudential/pdf/ebrochures/prulink-funds-updated/factsheets/prulink-asian-income-fund-template.pdf	23fbce1a7274aa201690fdcc06c599fa272d2e52.pdf
https://www.prudential.com.sg/-/media/project/prudential/pdf/ebrochures/prulink-funds-updated/factsheets/prulink-asian-multi-asset-income-fund-template.pdf	7990144bf76d58e91e43d3e6676cd17efd92fae1.pdf
https://www.prudential.com.sg/-/media/project/prudential/pdf/ebrochures/prulink-funds-updated/factsheets/prulink-emerging-markets-fund-template.pdf	86f6d2d77911e4dabb43d030c74a19abe0f56153.pdf
https://www.prudential.com.sg/-/media/project/prudential/pdf/ebrochures/prulink-funds-updated/factsheets/prulink-flexgrowth-fund.pdf	408a7cd693e0f77b91af10f266461eb715c6948e.pdf
https://www.prudential.com.sg/-/media/project/prudential/pdf/ebrochures/prulink-funds-updated/factsheets/prulink-global-bond-fund-template.pdf	a94c2d06cc65ffcd031b320e117c0586d4c32359.pdf
https://www.prudential.com.sg/-/media/project/prudential/pdf/ebrochures/prulink-funds-updated/factsheets/prulink-global-climate-change-equity-fund.pdf	d46c51cef93b29ff56684f3db3e8e0aad2d1154c.pdf
https://www.prudential.com.sg/-/media/project/prudential/pdf/ebrochures/prulink-funds-updated/factsheets/prulink-global-dividend-wealth-fund-distribution.pdf	c343e3cfb331bb560cba3082329e6ae705f16d99.pdf
https://www.prudential.com.sg/-/media/project/prudential/pdf/ebrochures/prulink-funds-updated/factsheets/prulink-global-fixed-income-fund-template.pdf	996128171e36f9f7ad45bce2f7ed06418226f559.pdf
https://www.prudential.com.sg/-/media/project/prudential/pdf/ebrochures/prulink-funds-updated/factsheets/prulink-global-growth-fund-accumulation.pdf	4f3291aae57cf9c3ce086f4511d7df06ab610278.pdf
https://www.prudential.com.sg/-/media/project/prudential/pdf/ebrochures/prulink-funds-updated/factsheets/prulink-global-impact-esg-equity-fund.pdf	d2028400e7357e1f6c6c65660399e628ba047acd.pdf
https://www.prudential.com.sg/-/media/project/prudential/pdf/ebrochures/prulink-funds-updated/factsheets/prulink-global-income-fund-accumulation.pdf	d1410b8413822f718d40d31ba6b4d2e54c554bfa.pdf
https://www.prudential.com.sg/-/media/project/prudential/pdf/ebrochures/prulink-funds-updated/factsheets/prulink-global-innovation-equity-fund.pdf	79ae538a0cf1531e14e716e75b7de2faaa0a0aed.pdf
https://www.prudential.com.sg/-/media/project/prudential/pdf/ebrochures/prulink-funds-updated/factsheets/prulink-global-managed-fund-template.pdf	1a2e68830f20e09dd806e087ff15e82df222d2fb.pdf
https://www.prudential.com.sg/-/media/project/prudential/pdf/ebrochures/prulink-funds-updated/factsheets/prulink-global-multi-asset-income-fund-template.pdf	e1901c807333a36c1523b05e6c6ddaf82a4f35ef.pdf
https://www.prudential.com.sg/-/media/project/prudential/pdf/ebrochures/prulink-funds-updated/factsheets/prulink-global-property-securities-fund-template.pdf	7529422dd023693268343287e38355759aa71e3f.pdf
